level,x,y,grid_w,grid_h,visits,traces_touching,trace_share,mean_step_frac,pauses,pauses_per_trace,pause_rate,mean_pause_ms,cohort
bonus1,2,1,10,10,345,328,1.0,0.2495,47,0.1433,0.1362,5023.7,top_solver
bonus1,2,3,10,10,329,328,1.0,0.3842,36,0.1098,0.1094,2729.5,top_solver
bonus1,2,4,10,10,333,328,1.0,0.4372,18,0.0549,0.0541,4212.7,top_solver
bonus1,2,6,10,10,355,328,1.0,0.4428,76,0.2317,0.2141,5372.9,top_solver
bonus1,2,7,10,10,329,328,1.0,0.4837,52,0.1585,0.1581,9414.6,top_solver
bonus1,2,8,10,10,339,328,1.0,0.4791,60,0.1829,0.177,2479.3,top_solver
bonus1,2,9,10,10,328,328,1.0,0.4544,80,0.2439,0.2439,6234.4,top_solver
bonus1,3,0,10,10,441,328,1.0,0.1618,74,0.2256,0.1678,3237.1,top_solver
bonus1,3,1,10,10,329,328,1.0,0.2555,31,0.0945,0.0942,2645.0,top_solver
bonus1,3,3,10,10,333,328,1.0,0.3941,93,0.2835,0.2793,9055.3,top_solver
bonus1,3,4,10,10,338,328,1.0,0.4382,37,0.1128,0.1095,5747.7,top_solver
bonus1,3,5,10,10,336,328,1.0,0.4888,67,0.2043,0.1994,2865.3,top_solver
bonus1,3,6,10,10,335,328,1.0,0.4904,66,0.2012,0.197,11245.5,top_solver
bonus1,3,7,10,10,386,328,1.0,0.49,64,0.1951,0.1658,5673.5,top_solver
bonus1,3,8,10,10,329,328,1.0,0.5007,42,0.128,0.1277,3805.3,top_solver
bonus1,3,9,10,10,400,328,1.0,0.4585,91,0.2774,0.2275,4977.9,top_solver
bonus1,4,0,10,10,349,328,1.0,0.445,74,0.2256,0.212,3603.1,top_solver
bonus1,4,2,10,10,328,328,1.0,0.51,116,0.3537,0.3537,5838.8,top_solver
bonus1,4,3,10,10,355,328,1.0,0.4748,85,0.2591,0.2394,5062.9,top_solver
bonus1,4,5,10,10,332,328,1.0,0.5695,63,0.1921,0.1898,9863.2,top_solver
bonus1,4,6,10,10,337,328,1.0,0.5818,62,0.189,0.184,3451.4,top_solver
bonus1,4,7,10,10,332,328,1.0,0.538,83,0.253,0.25,4800.6,top_solver
bonus1,4,9,10,10,328,328,1.0,0.5332,51,0.1555,0.1555,4804.9,top_solver
bonus1,5,0,10,10,556,328,1.0,0.4663,86,0.2622,0.1547,8514.5,top_solver
bonus1,5,1,10,10,333,328,1.0,0.5449,51,0.1555,0.1532,3379.0,top_solver
bonus1,5,2,10,10,444,328,1.0,0.4948,78,0.2378,0.1757,3514.2,top_solver
bonus1,5,3,10,10,335,328,1.0,0.5645,75,0.2287,0.2239,3536.3,top_solver
bonus1,5,4,10,10,355,328,1.0,0.5692,95,0.2896,0.2676,6464.0,top_solver
